KO_id	image_id
KO:K00171	map00640
KO:K00171	map00650
KO:K00171	map00680
KO:K00171	map00720
KO:K00171	map01200
KO:K00172	map00010
KO:K00172	map00020
KO:K00172	map00620
KO:K00172	map00633
KO:K00172	map00640
KO:K00172	map00650
KO:K00172	map00680
KO:K00172	map00720
KO:K00172	map01200
KO:K00174	map00010
KO:K00174	map00020
KO:K00174	map00620
KO:K00174	map00650
KO:K00174	map00720
KO:K00174	map01200
KO:K00175	map00010
KO:K00175	map00020
KO:K00175	map00620
KO:K00175	map00650
KO:K00175	map00720
KO:K00175	map01200
KO:K00176	map00020
KO:K00176	map00720
KO:K00176	map01200
KO:K00177	map00020
KO:K00177	map00720
KO:K00177	map01200
KO:K00181	map04310
KO:K00182	map04310
KO:K00182	map04340
KO:K00182	map04390
KO:K00182	map04550
KO:K00182	map04916
KO:K00182	map05166
KO:K00182	map05200
KO:K00182	map05205
KO:K00182	map05217
KO:K00186	map00280
KO:K00187	map00280
KO:K00188	map00280
KO:K00189	map00280
KO:K00192	map00680
KO:K00192	map01200
KO:K00193	map00680
KO:K00193	map01200
KO:K00194	map00680
KO:K00194	map00720
KO:K00194	map01200
KO:K00195	map00680
KO:K00195	map01200
KO:K00196	map00633
KO:K00196	map00680
KO:K00196	map00720
KO:K00196	map01200
KO:K00197	map00680
KO:K00197	map00720
KO:K00197	map01200
KO:K00198	map00633
KO:K00198	map00680
KO:K00198	map00720
KO:K00198	map01200
KO:K00200	map00680
KO:K00200	map01200
KO:K00201	map00680
KO:K00201	map01200
KO:K00202	map00680
KO:K00202	map01200
KO:K00203	map00680
KO:K00203	map01200
KO:K00204	map00680
KO:K00204	map01200
KO:K00205	map00680
KO:K00205	map01200
KO:K00207	map00240
KO:K00207	map00410
KO:K00207	map00770
KO:K00207	map00983
KO:K00208	map00061
KO:K00208	map00780
KO:K00208	map01212
KO:K00209	map00061
KO:K00209	map00650
KO:K00209	map01200
KO:K00209	map01212
KO:K00210	map00400
KO:K00210	map00401
KO:K00210	map01230
KO:K00211	map00400
KO:K00212	map00980
KO:K00213	map00100
KO:K00214	map00860
KO:K00215	map00261
KO:K00215	map00300
KO:K00215	map01230
KO:K00216	map01053
KO:K00217	map00361
KO:K00217	map00362
KO:K00217	map00364
KO:K00217	map00623
KO:K00217	map01220
KO:K00218	map00860
KO:K00220	map00400
KO:K00220	map00401
KO:K00220	map01230
KO:K00222	map00100
KO:K00223	map00100
KO:K00225	map00053
KO:K00226	map00240
KO:K00227	map00100
KO:K00228	map00860
KO:K00230	map00860
KO:K00231	map00860
KO:K00232	map00071
KO:K00232	map00592
KO:K00232	map01040
KO:K00232	map01212
KO:K00232	map03320
KO:K00232	map04024
KO:K00232	map04146
KO:K00234	map00020
KO:K00234	map00190
KO:K00234	map01200
KO:K00234	map04932
KO:K00234	map05010
KO:K00234	map05012
KO:K00234	map05016
KO:K00235	map00020
KO:K00235	map00190
KO:K00235	map01200
KO:K00235	map04932
KO:K00235	map05010
KO:K00235	map05012
KO:K00235	map05016
KO:K00236	map00020
KO:K00236	map00190
KO:K00236	map01200
KO:K00236	map04932
KO:K00236	map05010
KO:K00236	map05012
KO:K00236	map05016
KO:K00237	map00020
KO:K00237	map00190
KO:K00237	map01200
KO:K00237	map04932
KO:K00237	map05010
KO:K00237	map05012
KO:K00237	map05016
KO:K00239	map00020
KO:K00239	map00190
KO:K00239	map00650
KO:K00239	map00720
KO:K00239	map01200
KO:K00239	map05134
KO:K00240	map00020
KO:K00240	map00190
KO:K00240	map00650
KO:K00240	map00720
KO:K00240	map01200
KO:K00241	map00020
KO:K00241	map00190
KO:K00241	map00650
KO:K00241	map00720
KO:K00241	map01200
KO:K00242	map00020
KO:K00242	map00190
KO:K00242	map00650
KO:K00242	map00720
KO:K00242	map01200
KO:K00244	map00020
KO:K00244	map00190
KO:K00244	map00620
KO:K00244	map00650
KO:K00244	map00720
KO:K00244	map01200
KO:K00244	map02020
KO:K00245	map00020
KO:K00245	map00190
KO:K00245	map00620
KO:K00245	map00650
KO:K00245	map00720
KO:K00245	map01200
KO:K00245	map02020
KO:K00246	map00020
KO:K00246	map00190
KO:K00246	map00620
KO:K00246	map00650
KO:K00246	map00720
KO:K00246	map01200
KO:K00246	map02020
KO:K00247	map00020
KO:K00247	map00190
KO:K00247	map00620
KO:K00247	map00650
KO:K00247	map00720
KO:K00247	map01200
KO:K00247	map02020
KO:K00248	map00071
KO:K00248	map00280
KO:K00248	map00650
KO:K00248	map01200
KO:K00248	map01212
KO:K00249	map00071
KO:K00249	map00280
KO:K00249	map00410
KO:K00249	map00640
KO:K00249	map01200
KO:K00249	map01212
KO:K00249	map03320
KO:K00251	map00120
KO:K00251	map00140
KO:K00252	map00071
KO:K00252	map00310
KO:K00252	map00362
KO:K00252	map00380
KO:K00253	map00280
KO:K00254	map00240
KO:K00255	map00071
KO:K00255	map01212
KO:K00255	map03320
KO:K00257	map00281
KO:K00259	map00250
KO:K00259	map00430
KO:K00260	map00220
KO:K00260	map00250
KO:K00260	map00430
KO:K00260	map00910
KO:K00261	map00220
KO:K00261	map00250
KO:K00261	map00471
KO:K00261	map00910
KO:K00261	map01200
KO:K00261	map04964
KO:K00262	map00220
KO:K00262	map00250
KO:K00262	map00910
KO:K00263	map00280
KO:K00263	map00290
KO:K00264	map00250
KO:K00264	map00910
KO:K00264	map01230
KO:K00265	map00250
KO:K00265	map00910
KO:K00265	map01230
KO:K00266	map00250
KO:K00266	map00910
KO:K00266	map01230
KO:K00270	map00350
KO:K00270	map00360
KO:K00270	map00400
KO:K00271	map00280
KO:K00272	map00250
KO:K00272	map04146
KO:K00273	map00260
KO:K00273	map00311
KO:K00273	map00330
KO:K00273	map00472
KO:K00273	map04146
KO:K00274	map00260
KO:K00274	map00330
KO:K00274	map00340
KO:K00274	map00350
KO:K00274	map00360
KO:K00274	map00380
KO:K00274	map00950
KO:K00274	map00982
KO:K00274	map04726
KO:K00274	map04728
KO:K00274	map05030
KO:K00274	map05031
KO:K00274	map05034
KO:K00275	map00750
KO:K00276	map00260
KO:K00276	map00350
KO:K00276	map00360
KO:K00276	map00410
KO:K00276	map00950
KO:K00276	map00960
KO:K00278	map00250
KO:K00278	map00760
KO:K00279	map00908
KO:K00281	map00260
KO:K00281	map00630
KO:K00281	map01200
KO:K00282	map00260
KO:K00282	map00630
KO:K00282	map01200
KO:K00283	map00260
KO:K00283	map00630
KO:K00283	map01200
KO:K00284	map00630
KO:K00284	map00910
KO:K00285	map00360
KO:K00286	map00330
KO:K00286	map01230
KO:K00287	map00670
KO:K00287	map00790
KO:K00288	map00670
KO:K00289	map00670
KO:K00290	map00300
KO:K00290	map00310
KO:K00290	map01230
KO:K00291	map00310
KO:K00292	map00310
KO:K00293	map00300
KO:K00293	map00310
KO:K00293	map01230
KO:K00294	map00250
KO:K00294	map00330
KO:K00295	map00670
KO:K00296	map00330
KO:K00297	map00670
KO:K00297	map00720
KO:K00297	map01200
KO:K00299	map00740
KO:K00299	map00920
KO:K00301	map00260
KO:K00302	map00260
KO:K00303	map00260
KO:K00304	map00260
KO:K00305	map00260
KO:K00306	map00260
KO:K00306	map00310
KO:K00306	map04146
KO:K00307	map00950
KO:K00308	map04146
KO:K00310	map00480
KO:K00310	map00790
KO:K00312	map04310
KO:K00312	map04340
KO:K00312	map04390
KO:K00312	map04550
KO:K00312	map04916
KO:K00312	map05166
KO:K00312	map05200
KO:K00312	map05205
KO:K00312	map05206
KO:K00312	map05217
KO:K00314	map00260
KO:K00315	map00260
KO:K00316	map00330
KO:K00316	map00410
KO:K00317	map00680
KO:K00317	map01200
KO:K00318	map00330
KO:K00319	map00680
KO:K00319	map01200
KO:K00320	map00680
KO:K00320	map01200
KO:K00322	map00760
KO:K00323	map00760
KO:K00324	map00760
KO:K00325	map00760
KO:K00326	map00520
KO:K00329	map00190
KO:K00330	map00190
KO:K00331	map00190
KO:K00332	map00190
KO:K00333	map00190
KO:K00334	map00190
KO:K00335	map00190
KO:K00336	map00190
KO:K00337	map00190
KO:K00338	map00190
KO:K00339	map00190
KO:K00340	map00190
KO:K00341	map00190
KO:K00342	map00190
KO:K00343	map00190
KO:K00355	map00130
KO:K00356	map00190
KO:K00357	map00790
KO:K00360	map00910
KO:K00362	map00910
KO:K00363	map00910
KO:K00364	map00230
KO:K00365	map00230
KO:K00365	map00232
KO:K00366	map00910
KO:K00367	map00910
KO:K00368	map00910
KO:K00370	map00910
KO:K00370	map02020
KO:K00371	map00910
KO:K00371	map02020
KO:K00372	map00910
KO:K00373	map00910
KO:K00373	map02020
KO:K00374	map00910
KO:K00374	map02020
KO:K00376	map00910
KO:K00380	map00920
KO:K00381	map00920
KO:K00382	map00010
KO:K00382	map00020
KO:K00382	map00260
KO:K00382	map00280
KO:K00382	map00620
KO:K00382	map00630
KO:K00382	map00640
KO:K00382	map01200
KO:K00383	map00480
KO:K00383	map04918
KO:K00384	map00240
KO:K00384	map00450
KO:K00385	map00920
KO:K00387	map00920
KO:K00390	map00920
KO:K00392	map00920
KO:K00394	map00920
KO:K00395	map00920
KO:K00399	map00680
KO:K00399	map01200
KO:K00400	map00680
KO:K00401	map00680
KO:K00401	map01200
KO:K00402	map00680
KO:K00402	map01200
KO:K00404	map00190
KO:K00404	map02020
KO:K00405	map00190
KO:K00405	map02020
KO:K00406	map00190
KO:K00406	map02020
KO:K00407	map00190
KO:K00407	map02020
KO:K00408	map04310
KO:K00408	map04340
KO:K00408	map04390
KO:K00408	map04550
KO:K00408	map04916
KO:K00408	map04919
KO:K00408	map05166
KO:K00408	map05200
KO:K00408	map05205
KO:K00408	map05217
KO:K00410	map00190
KO:K00410	map02020
KO:K00411	map00190
KO:K00411	map02020
KO:K00411	map04260
KO:K00411	map04932
KO:K00411	map05010
KO:K00411	map05012
KO:K00411	map05016
KO:K00412	map00190
KO:K00412	map02020
KO:K00412	map04260
KO:K00412	map04932
KO:K00412	map05010
KO:K00412	map05012
KO:K00412	map05016
KO:K00413	map00190
KO:K00413	map02020
KO:K00413	map04260
KO:K00413	map04932
KO:K00413	map05010
KO:K00413	map05012
KO:K00413	map05016
KO:K00414	map00190
KO:K00414	map04260
KO:K00414	map04932
KO:K00414	map05010
KO:K00414	map05012
KO:K00414	map05016
KO:K00415	map00190
KO:K00415	map04260
KO:K00415	map04932
KO:K00415	map05010
KO:K00415	map05012
KO:K00415	map05016
KO:K00416	map00190
KO:K00416	map04260
KO:K00416	map04932
KO:K00416	map05010
KO:K00416	map05012
KO:K00416	map05016
KO:K00417	map00190
KO:K00417	map04260
KO:K00417	map04932
KO:K00417	map05010
KO:K00417	map05012
KO:K00417	map05016
KO:K00418	map00190
KO:K00418	map04260
KO:K00418	map04932
KO:K00418	map05010
KO:K00418	map05012
KO:K00418	map05016
KO:K00419	map00190
KO:K00419	map04260
KO:K00419	map04932
KO:K00419	map05010
KO:K00419	map05012
KO:K00419	map05016
KO:K00420	map00190
KO:K00420	map04260
KO:K00420	map04932
KO:K00420	map05010
KO:K00420	map05012
KO:K00420	map05016
KO:K00422	map00350
KO:K00422	map00950
KO:K00423	map00053
KO:K00425	map00190
KO:K00425	map02020
KO:K00426	map00190
KO:K00426	map02020
KO:K00430	map00940
KO:K00431	map00350
KO:K00431	map04918
KO:K00431	map05320
KO:K00432	map00480
KO:K00432	map00590
KO:K00432	map04918
KO:K00434	map00053
KO:K00434	map00480
KO:K00440	map00680
KO:K00441	map00680
KO:K00442	map00680
KO:K00443	map00680
KO:K00444	map04310
KO:K00444	map04340
KO:K00444	map04390
KO:K00444	map04550
KO:K00444	map04916
KO:K00444	map05166
KO:K00444	map05200
KO:K00444	map05205
KO:K00444	map05217
KO:K00445	map04310
KO:K00445	map04340
KO:K00445	map04390
KO:K00445	map04550
