KO_id	modules
KO:K01624	M00003
KO:K01624	M00165
KO:K01624	M00167
KO:K01624	M00344
KO:K01624	M00345
KO:K01625	M00008
KO:K01625	M00061
KO:K01625	M00308
KO:K01625	M00631
KO:K01626	M00022
KO:K01627	M00063
KO:K01631	M00552
KO:K01633	M00126
KO:K01634	M00100
KO:K01637	M00012
KO:K01638	M00012
KO:K01640	M00036
KO:K01640	M00088
KO:K01641	M00088
KO:K01641	M00095
KO:K01647	M00009
KO:K01647	M00010
KO:K01647	M00012
KO:K01647	M00740
KO:K01649	M00432
KO:K01652	M00019
KO:K01652	M00570
KO:K01653	M00019
KO:K01653	M00570
KO:K01655	M00030
KO:K01655	M00433
KO:K01656	M00023
KO:K01657	M00023
KO:K01658	M00023
KO:K01661	M00116
KO:K01662	M00096
KO:K01663	M00026
KO:K01666	M00545
KO:K01666	M00569
KO:K01676	M00009
KO:K01676	M00011
KO:K01676	M00173
KO:K01676	M00374
KO:K01677	M00009
KO:K01677	M00011
KO:K01677	M00173
KO:K01677	M00374
KO:K01677	M00620
KO:K01678	M00009
KO:K01678	M00011
KO:K01678	M00173
KO:K01678	M00374
KO:K01678	M00620
KO:K01679	M00009
KO:K01679	M00011
KO:K01679	M00173
KO:K01679	M00376
KO:K01681	M00009
KO:K01681	M00010
KO:K01681	M00012
KO:K01681	M00173
KO:K01681	M00740
KO:K01682	M00009
KO:K01682	M00010
KO:K01682	M00012
KO:K01682	M00173
KO:K01684	M00552
KO:K01685	M00631
KO:K01686	M00061
KO:K01687	M00019
KO:K01687	M00570
KO:K01689	M00001
KO:K01689	M00002
KO:K01689	M00003
KO:K01689	M00346
KO:K01689	M00394
KO:K01690	M00008
KO:K01692	M00032
KO:K01692	M00087
KO:K01693	M00026
KO:K01694	M00023
KO:K01695	M00023
KO:K01696	M00023
KO:K01697	M00035
KO:K01697	M00338
KO:K01698	M00121
KO:K01702	M00432
KO:K01703	M00432
KO:K01703	M00535
KO:K01704	M00432
KO:K01704	M00535
KO:K01705	M00030
KO:K01705	M00433
KO:K01712	M00045
KO:K01713	M00024
KO:K01714	M00016
KO:K01714	M00525
KO:K01714	M00526
KO:K01714	M00527
KO:K01716	M00083
KO:K01719	M00121
KO:K01723	M00113
KO:K01733	M00018
KO:K01735	M00022
KO:K01736	M00022
KO:K01738	M00021
KO:K01739	M00017
KO:K01745	M00045
KO:K01749	M00121
KO:K01754	M00570
KO:K01755	M00029
KO:K01756	M00048
KO:K01756	M00049
KO:K01758	M00338
KO:K01760	M00017
KO:K01762	M00368
KO:K01768	M00695
KO:K01770	M00096
KO:K01772	M00121
KO:K01778	M00016
KO:K01778	M00525
KO:K01778	M00527
KO:K01782	M00032
KO:K01782	M00087
KO:K01783	M00004
KO:K01783	M00007
KO:K01784	M00361
KO:K01784	M00362
KO:K01784	M00632
KO:K01785	M00632
KO:K01791	M00362
KO:K01793	M00059
KO:K01796	M00104
KO:K01799	M00622
KO:K01800	M00044
KO:K01803	M00001
KO:K01803	M00002
KO:K01803	M00003
KO:K01807	M00004
KO:K01807	M00007
KO:K01807	M00165
KO:K01807	M00167
KO:K01807	M00580
KO:K01808	M00004
KO:K01808	M00007
KO:K01808	M00165
KO:K01808	M00167
KO:K01809	M00114
KO:K01810	M00001
KO:K01810	M00004
KO:K01810	M00114
KO:K01812	M00061
KO:K01812	M00631
KO:K01814	M00026
KO:K01817	M00023
KO:K01821	M00569
